CounterClockwiseContourIntegral;,∳,8755
hookrightarrow;,↪,8618
leftleftarrows;,⇇,8647
leftrightarrow;,↔,8596
leftthreetimes;,⋋,8907
longleftarrow;,⟵,10229
looparrowright;,↬,8620
nshortparallel;,∦,8742
ntriangleright;,⋫,8939
rightarrowtail;,↣,8611
rightharpoonup;,⇀,8640
trianglelefteq;,⊴,8884
upharpoonright;,↾,8638
ApplyFunction;,⁡,8289
DiacriticalDot;,˙,729
DifferentialD;,ⅆ,8518
DoubleUpArrow;,⇑,8657
DownArrowBar;,⤓,10515
LessFullEqual;,≦,8806
NotHumpEqual;,≏̸,8783
NotTildeEqual;,≄,8772
NotTildeTilde;,≉,8777
Poincareplane;,ℌ,8460
PrecedesTilde;,≾,8830
RightArrowBar;,⇥,8677
RightTeeArrow;,↦,8614
RightTriangle;,⊳,8883
RightUpVector;,↾,8638
RoundImplies;,⥰,10608
SucceedsTilde;,≿,8831
SupersetEqual;,⊇,8839
VerticalTilde;,≀,8768
VeryThinSpace;, ,8202
bigtriangleup;,△,9651
blacklozenge;,⧫,10731
blacktriangle;,▴,9652
divideontimes;,⋇,8903
fallingdotseq;,≒,8786
hookleftarrow;,↩,8617
leftarrowtail;,↢,8610
leftharpoonup;,↼,8636
looparrowleft;,↫,8619
measuredangle;,∡,8737
ntriangleleft;,⋪,8938
shortparallel;,∥,8741
smallsetminus;,∖,8726
triangleright;,▹,9657
upharpoonleft;,↿,8639
varsubsetneq;,⊊︀,8842
varsupsetneq;,⊋︀,8843
DownTeeArrow;,↧,8615
ExponentialE;,ⅇ,8519
GreaterEqual;,≥,8805
GreaterTilde;,≳,8819
HilbertSpace;,ℋ,8459
HumpDownHump;,≎,8782
Intersection;,⋂,8898
LeftArrowBar;,⇤,8676
LeftTeeArrow;,↤,8612
LeftTriangle;,⊲,8882
LeftUpVector;,↿,8639
NotCongruent;,≢,8802
NotLessEqual;,≰,8816
NotLessLess;,≪̸,8810
NotLessTilde;,≴,8820
NotSuperset;,⊃⃒,8835
Proportional;,∝,8733
RightCeiling;,⌉,8969
RuleDelayed;,⧴,10740
ShortUpArrow;,↑,8593
SquareSubset;,⊏,8847
UnderBracket;,⎵,9141
eqslantless;,⪕,10901
exponentiale;,ⅇ,8519
nsubseteqq;,⫅̸,10949
nsupseteqq;,⫆̸,10950
precnapprox;,⪹,10937
risingdotseq;,≓,8787
succnapprox;,⪺,10938
triangledown;,▿,9663
triangleleft;,◃,9667
CircleMinus;,⊖,8854
CircleTimes;,⊗,8855
Equilibrium;,⇌,8652
GreaterLess;,≷,8823
LeftCeiling;,⌈,8968
LessGreater;,≶,8822
MediumSpace;, ,8287
NotPrecedes;,⊀,8832
NotSucceeds;,⊁,8833
OverBracket;,⎴,9140
RightVector;,⇀,8640
Rrightarrow;,⇛,8667
SmallCircle;,∘,8728
SquareUnion;,⊔,8852
SubsetEqual;,⊆,8838
ThickSpace;,  ,8287
UpArrowBar;,⤒,10514
UpDownArrow;,↕,8597
Updownarrow;,⇕,8661
VerticalBar;,∣,8739
VerticalLine;,|,124
backepsilon;,϶,1014
blacksquare;,▪,9642
circledcirc;,⊚,8858
circleddash;,⊝,8861
curlyeqprec;,⋞,8926
curlyeqsucc;,⋟,8927
diamondsuit;,♦,9830
eqslantgtr;,⪖,10902
expectation;,ℰ,8496
gtreqqless;,⪌,10892
lessapprox;,⪅,10885
lesseqqgtr;,⪋,10891
longmapsto;,⟼,10236
nRightarrow;,⇏,8655
ngeqslant;,⩾̸,10878
nleqslant;,⩽̸,10877
nrightarrow;,↛,8603
precapprox;,⪷,10935
preccurlyeq;,≼,8828
